127.0.0.1 - - [17/Oct/2019:13:42:20 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:28 +0530] "GET /trendprediction/admin/index.jsp HTTP/1.1" 200 30628
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/css/waves.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/css/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/css/style.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/css/jquery.mCustomScrollbar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/css/fullcalendar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/css/chartist.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/css/percircle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:29 +0530] "GET /trendprediction/admin/adminResource/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:30 +0530] "GET /trendprediction/admin/adminResource/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:30 +0530] "GET /trendprediction/admin/adminResource/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:30 +0530] "GET /trendprediction/admin/adminResource/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:30 +0530] "GET /trendprediction/admin/adminResource/js/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2019:13:42:30 +0530] "GET /trendprediction/admin/adminResource/js/waves.min.js HTTP/1.1" 304 -
