127.0.0.1 - - [27/Dec/2019:11:55:50 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:55:56 +0530] "GET /trendprediction/admin/register.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:55:57 +0530] "GET /trendprediction/admin/adminResource/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:55:57 +0530] "GET /trendprediction/admin/adminResource/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:55:57 +0530] "GET /trendprediction/admin/adminResource/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:55:57 +0530] "GET /trendprediction/admin/adminResource/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:55:57 +0530] "GET /trendprediction/admin/adminResource/css/waves.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:55:57 +0530] "GET /trendprediction/admin/adminResource/css/style.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:55:59 +0530] "GET /trendprediction/admin/adminResource/css/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:55:59 +0530] "GET /trendprediction/admin/adminResource/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:55:59 +0530] "GET /trendprediction/admin/adminResource/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:56:00 +0530] "GET /trendprediction/admin/adminResource/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:58:57 +0530] "GET /trendprediction/user/register.jsp HTTP/1.1" 200 19460
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:58:58 +0530] "GET /trendprediction/user/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [27/Dec/2019:11:58:58 +0530] "GET /trendprediction/user/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:02:21 +0530] "GET /trendprediction/user/register.jsp HTTP/1.1" 200 18737
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:02:21 +0530] "GET /trendprediction/user/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:02:21 +0530] "GET /trendprediction/user/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:02:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:02:43 +0530] "GET /trendprediction/user/form-advanced.html HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:13:16 +0530] "GET /trendprediction/user/register.jsp HTTP/1.1" 200 19170
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:13:16 +0530] "GET /trendprediction/user/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:13:16 +0530] "GET /trendprediction/user/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:42 +0530] "GET /trendprediction/admin/adminResource/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:42 +0530] "GET /trendprediction/admin/adminResource/css/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:42 +0530] "GET /trendprediction/admin/adminResource/css/jquery.mCustomScrollbar.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:42 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 20139
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:42 +0530] "GET /trendprediction/admin/adminResource/css/fonts/themify.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/image/avatar-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/js/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/js/chart.sparkline.init.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/js/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/js/waves.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/js/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/js/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/js/validator.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/js/main.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/js/mycommon.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2019:12:15:43 +0530] "GET /trendprediction/admin/adminResource/image/avatar-2.jpg HTTP/1.1" 304 -
