127.0.0.1 - - [21/Dec/2019:10:05:12 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:05:19 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 19984
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:05:20 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:05:20 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:16:35 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21134
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:16:35 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:16:35 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:24:07 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21143
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:24:07 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:24:07 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:27:54 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21439
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:27:55 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:27:55 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:34:04 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21548
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:34:04 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:34:04 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:34:32 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21551
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:34:32 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:34:32 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:34:53 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21555
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:34:53 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:34:53 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:30 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21555
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:31 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:31 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:33 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21555
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:33 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:33 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:34 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21555
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:34 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:34 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:34 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21555
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:35 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:35 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:46 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21555
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:46 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:46 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:47 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21555
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:47 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:39:47 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:40:56 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21546
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:40:56 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:40:56 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:41:56 +0530] "GET /trendprediction/admin/addDataset.jsp HTTP/1.1" 200 21507
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:41:56 +0530] "GET /trendprediction/admin/assets/images/avatar-sm-5.jpg HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [21/Dec/2019:10:41:56 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
