127.0.0.1 - - [13/Oct/2019:12:39:29 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/css/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:55 +0530] "GET /trendprediction/admin/adminResource/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:56 +0530] "GET /trendprediction/admin/adminResource/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:56 +0530] "GET /trendprediction/admin/adminResource/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 12240
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:44:57 +0530] "GET /trendprediction/admin/adminResource/css/fonts/themify.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:45:17 +0530] "GET /trendprediction/admin/page-login.html HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:45:49 +0530] "GET /trendprediction/admin/adminResource/js/waves.min.js.map HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:45:49 +0530] "GET /trendprediction/admin/adminResource/js/bootstrap.min.js.map HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:45:49 +0530] "GET /trendprediction/admin/adminResource/js/chartist.min.js.map HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:45:49 +0530] "GET /trendprediction/admin/adminResource/css/bootstrap.min.css.map HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:46:45 +0530] "GET /trendprediction/admin/login.jsp HTTP/1.1" 200 3506
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:46:46 +0530] "GET /trendprediction/admin/adminResource/image/sativa.png HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:52:07 +0530] "GET /trendprediction/admin/index.jsp HTTP/1.1" 200 30634
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:52:10 +0530] "GET /trendprediction/admin/aminResources/image/avatar-sm-6.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:52:10 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:53:45 +0530] "GET /trendprediction/admin/login.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:54:58 +0530] "GET /trendprediction/admin/index.jsp HTTP/1.1" 200 30634
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:54:59 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:55:00 +0530] "GET /trendprediction/admin/aminResources/image/avatar-sm-6.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [13/Oct/2019:17:55:33 +0530] "GET /trendprediction/admin/login.html HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [13/Oct/2019:18:04:18 +0530] "GET /trendprediction/admin/index.jsp HTTP/1.1" 200 30628
0:0:0:0:0:0:0:1 - - [13/Oct/2019:18:04:19 +0530] "GET /trendprediction/admin/aminResources/image/avatar-sm-6.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [13/Oct/2019:18:04:19 +0530] "GET /trendprediction/admin/adminResource/image/avatar-sm-8.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [13/Oct/2019:18:04:34 +0530] "GET /trendprediction/admin/login.jsp HTTP/1.1" 200 3506
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:14 +0530] "GET /trendprediction/admin/login.jsp HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/css/waves.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/css/style.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/js/waves.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/js/mycommon.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/js/main.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/js/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:26 +0530] "GET /trendprediction/admin/adminResource/css/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:27 +0530] "GET /trendprediction/admin/adminResource/image/sativa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:27 +0530] "GET /trendprediction/admin/adminResource/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:40:27 +0530] "GET /trendprediction/admin/adminResource/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2019:23:42:27 +0530] "GET /trendprediction/admin/login.jsp HTTP/1.1" 200 3485
